id,name
0,
1,Gil
2,火之碎晶
3,冰之碎晶
4,風之碎晶
5,土之碎晶
6,雷之碎晶
7,水之碎晶
8,火之水晶
9,冰之水晶
10,風之水晶
11,土之水晶
12,雷之水晶
13,水之水晶
14,火之晶簇
15,冰之晶簇
16,風之晶簇
17,土之晶簇
18,雷之晶簇
19,水之晶簇
20,黑渦團軍票
21,雙蛇黨軍票
22,不滅隊軍票
23,亞拉戈哲學神典石
24,亞拉戈神話神典石
25,狼印戰績
26,亞拉戈戰記神典石
27,同盟徽章
28,亞拉戈詩學神典石
29,金碟幣
30,亞拉戈法典神典石
31,亞拉戈禁書神典石
32,亞拉戈傳承神典石
33,亞拉戈聖典神典石
34,亞拉戈真理神典石
35,亞拉戈萬物神典石
36,亞拉戈虛構神典石
37,亞拉戈創世神典石
38,亞拉戈魔典神典石
39,亞拉戈幻想神典石
40,亞拉戈奇譚神典石
41,亞拉戈默示神典石
42,亞拉戈經典神典石
43,亞拉戈天文神典石
44,亞拉戈因果神典石
45,亞拉戈神曲神典石
46,亞拉戈美學神典石
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,過期青銅步兵劍
101,過期青銅小刀
102,過期青銅騎兵劍
103,過期失明小刀
104,過期寂靜小刀
105,過期黃銅步兵劍
106,過期黃銅小刀
107,過期麻痺小刀
108,過期昏睡小刀
109,過期梣木石刃棒
110,過期黑鐵步兵劍
111,過期黑鐵小刀
112,過期黑鐵騎兵劍
113,過期狂熱小刀
114,過期出血小刀
115,過期榆木石刃棒
116,過期蜂蠟騎兵劍
117,過期黑鐵彎刃刀
118,過期黑鐵短劍
119,過期胡桃石刃棒
120,過期黑鐵長劍
121,過期鋸齒彎刃刀
122,過期白羽橡木石刃棒
123,過期橡木石刃棒
124,過期獸骨骨拳
125,過期水牛護拳
126,過期金屬指虎
127,過期渡渡鳥鋼拳
128,過期黃銅指虎
129,過期龜甲骨拳
130,過期蟾蜍鋼拳
131,過期鐵甲指虎
132,過期野豬護拳
133,過期黑鐵虎爪
134,過期蟹甲骨拳
135,過期窒息虎爪
136,過期停心虎爪
137,過期毒蜥蜴革鋼拳
138,過期翡翠護拳
139,過期青銅戰斧
140,過期青銅雙刃斧
141,過期青銅刺柄雙刃斧
142,過期風暴戰斧
143,過期黑鐵戰斧
144,過期黑鐵雙刃斧
145,過期黑鐵刺柄雙刃斧
146,過期業火戰斧
147,過期黑鐵長刃斧
148,過期青銅巨斧
149,過期黑鐵鉤斧
150,過期雷暴戰斧
151,過期雕紋長刃斧
152,過期青銅長槍
153,過期獸骨漁槍
154,過期犬牙漁槍
155,過期黃銅長槍
156,過期黑鐵長槍
157,過期黑鐵騎槍
158,過期龜甲漁槍
159,過期黑鐵戰戈
160,過期黑鐵戰叉
161,過期黑鐵重騎槍
162,過期蟹甲漁槍
163,過期貴族戰戈
164,過期方旗騎槍
165,過期黑鐵戰戟
166,過期柳木短弓
167,過期楓木長弓
168,過期榆木短弓
169,過期雪松騎兵弓
170,過期革裝楓木長弓
171,過期白羽柳木短弓
172,過期柳木複合弓
173,過期黑鐵騎兵弓
174,過期梣木長弓
175,過期高速榆木短弓
176,過期甲蟲複合弓
177,過期裝甲騎兵弓
178,過期革裝梣木長弓
179,過期橡木複合弓
180,過期紫杉長弓
181,過期蟹甲複合弓
182,過期楓木幻杖
183,過期綠葉楓木幻杖
184,過期火華楓木幻杖
185,過期風華楓木幻杖
186,過期雷華楓木幻杖
187,過期土華楓木幻杖
188,過期水華楓木幻杖
189,過期冰華楓木幻杖
190,過期柳木幻杖
191,過期綠葉柳木幻杖
192,過期火華柳木幻杖
193,過期風華柳木幻杖
194,過期雷華柳木幻杖
195,過期土華柳木幻杖
196,過期水華柳木幻杖
197,過期冰華柳木幻杖
198,過期胡桃幻杖
199,過期綠葉胡桃幻杖
200,過期火華胡桃幻杖
201,過期風華胡桃幻杖
202,過期雷華胡桃幻杖
203,過期土華胡桃幻杖
204,過期水華胡桃幻杖
205,過期冰華胡桃幻杖
206,過期梣木牧杖
207,過期榆木牧杖
208,過期松木手杖
209,過期銅鈴榆木牧杖
210,過期白羽手杖
211,過期紅木根杖
212,過期橡木牧杖
213,過期明燈根杖
214,過期紫杉手杖
215,過期妖花根杖
216,過期銅鈴橡木牧杖
217,過期黑羽手杖
218,過期翡翠手杖
219,過期紅銅咒杖
220,過期黃銅咒杖
221,過期黃銅咒錘
222,過期白銀咒杖
223,過期條紋咒角
224,過期熏銀咒杖
225,過期黑鐵咒錘
226,過期綠金咒杖
227,過期風華咒角
228,過期土華咒角
229,過期雷華咒角
230,過期寒冰烙印
231,過期火華咒角
232,過期水華咒角
233,過期獸骨長杖
234,過期蟹甲獸骨長杖
235,過期獸角長杖
236,過期蟹甲獸角長杖
237,過期楓木方盾
238,過期青銅重盾
239,過期栗木圓盾
240,過期青銅小圓盾
241,過期梣木方盾
242,過期綿羊皮盾
243,過期青銅輕盾
244,過期漩渦圓盾
245,過期鑲鐵小圓盾
246,過期青銅步兵盾
247,過期黑鐵重盾
248,過期橡木圓盾
249,過期水牛皮盾
250,過期鑲銀小圓盾
251,過期機關盾
252,過期黑鐵步兵盾
253,過期黑鐵輕盾
254,過期海蛇圓盾
255,過期佩劍機關盾
256,過期盜龍皮盾
257,過期鑲銀步兵盾
258,過期公牛重盾
259,過期青銅手鋸
260,過期陸行鳥手鋸
261,過期魚腥手鋸
262,過期黑鐵手鋸
263,過期黑鐵雕紋手鋸
264,過期橫切手鋸
265,過期黑鐵陸行鳥手鋸
266,過期青銅羊角錘
267,過期黑鐵羊角錘
268,過期白鋼羊角錘
269,過期青銅橫頭錘
270,過期青銅鳥嘴錘
271,過期加強鳥嘴錘
272,過期黑鐵橫頭錘
273,過期黑鐵鳥嘴錘
274,過期革柄鳥嘴錘
275,過期加重鳥嘴錘
276,過期青銅銼刀
277,過期黑鐵銼刀
278,過期拋光黑鐵銼刀
279,過期青銅甲冑錘
280,過期青銅圓頭錘
281,過期錫銅圓頭錘
282,過期黑鐵甲冑錘
283,過期黑鐵圓頭錘
284,過期革柄圓頭錘
285,過期加重圓頭錘
286,過期青銅手鉗
287,過期黑鐵手鉗
288,過期白鋼手鉗
289,過期青銅金工錘
290,過期青銅裝飾錘
291,過期錫銅裝飾錘
292,過期黑鐵金工錘
293,過期加強裝飾錘
294,過期黑鐵裝飾錘
